fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.84,0.622,0.378,2.45,0.041,21.5,37.3,0.99746,3.42,0.89,9.99,6
7.67,0.485,0.435,1.71,0.057,17.3,8.9,0.999,3.48,0.35,9.23,6
5.26,0.724,0.414,1.93,0.115,9.6,47.1,0.99665,3.44,0.65,11.98,6
8.89,0.946,0.203,3.58,0.087,6.9,38.9,0.99494,3.13,0.66,10.56,5
11.33,0.36,0.513,4.0,0.076,8.4,25.4,0.9962,3.3,1.08,8.85,7
5.65,0.346,0.27,1.22,0.049,9.8,52.2,0.99511,3.53,0.64,11.03,5
9.82,0.372,0.294,1.93,0.066,20.0,26.0,0.99683,3.42,0.71,10.51,7
7.75,0.819,0.393,3.09,0.109,16.7,36.6,0.99617,3.3,0.66,10.16,5
8.21,0.718,0.221,4.94,0.098,11.1,46.0,0.99572,3.54,0.65,12.1,6
6.49,0.506,0.358,4.72,0.063,11.0,49.1,0.99759,3.37,0.99,9.38,5
7.74,0.537,0.315,1.48,0.024,22.2,55.0,0.9997,3.42,0.48,11.53,5
10.58,0.383,0.304,3.76,0.058,7.7,60.1,0.99732,3.37,0.54,9.98,5
9.33,0.69,0.261,2.17,0.063,3.9,45.3,0.99925,3.39,0.77,10.4,7
11.33,0.462,0.419,3.39,0.052,31.3,11.0,0.9997,3.4,0.68,9.62,6
10.37,0.483,0.232,3.02,0.065,11.1,50.3,0.99559,3.5,0.59,9.69,5
9.08,0.64,0.378,1.2,0.113,43.3,75.4,0.99722,3.52,0.63,9.95,5
11.35,0.496,0.116,2.71,0.077,10.0,8.6,0.99589,3.24,0.8,10.79,8
9.08,0.488,0.018,3.33,0.122,14.2,11.1,0.99388,3.36,0.72,10.54,5
9.76,0.532,0.076,2.1,0.04,7.2,22.9,0.99738,3.5,0.53,8.82,6
7.8,0.673,0.324,1.89,0.068,16.8,72.5,0.9947,3.29,0.68,11.13,5
8.44,0.826,0.252,1.04,0.033,11.2,21.9,0.99762,3.11,0.63,11.98,5
7.11,0.635,0.197,2.88,0.064,12.1,73.1,0.99374,3.17,0.72,9.71,5
10.04,0.675,0.492,2.33,0.049,15.2,48.3,0.99702,3.18,0.59,9.58,5
6.27,0.494,0.184,1.4,0.139,10.1,26.9,0.99372,3.24,0.47,11.61,6
9.68,0.403,0.239,1.83,0.094,16.5,190.6,0.99798,3.2,0.75,10.85,4
7.99,0.648,0.468,2.27,0.123,8.5,14.8,0.99595,3.46,0.73,10.27,6
10.36,0.561,0.421,1.65,0.064,15.9,41.9,0.99577,3.27,0.91,11.29,6
9.63,0.274,0.464,2.12,0.049,3.2,19.8,0.99884,3.5,0.46,10.71,6
11.49,0.471,0.599,0.96,0.049,4.6,51.8,0.99609,3.14,0.63,11.95,6
9.59,0.515,0.391,3.89,0.088,7.1,20.6,0.99691,3.26,0.6,10.4,5
5.58,0.438,0.738,2.13,0.176,5.5,29.8,0.99632,3.33,0.58,10.88,6
8.2,0.797,0.121,1.29,0.094,5.8,23.7,0.99766,3.43,0.43,11.59,5
6.28,0.616,0.271,0.9,0.066,19.2,34.1,0.99868,3.48,0.49,11.63,5
7.42,0.777,0.218,3.36,0.072,11.4,75.0,0.99829,3.23,0.68,9.88,5
10.95,0.577,0.394,2.72,0.077,10.1,13.0,0.99581,3.46,0.56,10.95,5
9.43,0.545,0.474,2.33,0.194,16.6,22.2,0.999,3.06,0.52,12.2,5
7.1,0.361,0.253,3.12,0.136,17.4,30.8,0.99496,3.44,0.91,10.09,6
6.56,0.532,0.224,3.12,0.088,9.3,35.1,0.99529,3.11,1.15,9.93,5
8.38,0.532,0.369,2.31,0.082,26.5,91.8,0.99646,3.38,0.63,10.36,5
6.2,0.284,0.221,1.89,0.089,11.8,23.0,0.99869,3.48,0.44,8.87,5
7.15,0.433,0.205,1.75,0.098,20.4,72.9,0.99448,3.44,0.7,12.77,5
8.86,0.472,0.467,2.56,0.065,8.5,99.2,0.99839,3.06,0.38,10.37,5
10.33,0.604,0.509,3.97,0.053,16.2,36.7,0.9966,3.24,0.45,12.18,5
9.38,0.613,0.476,2.02,0.124,21.6,18.7,0.99588,3.42,0.71,10.06,6
8.85,0.425,0.238,4.11,0.079,20.0,84.6,0.99879,3.41,0.45,10.46,6
8.45,0.614,0.242,2.5,0.12,18.9,69.0,0.99517,3.35,0.59,11.43,6
9.04,0.497,0.126,2.51,0.164,8.2,17.3,1.00104,2.98,0.44,9.24,5
11.13,0.443,0.245,6.25,0.099,5.3,108.8,0.99636,3.49,0.65,10.31,6
4.73,0.724,0.142,4.45,0.092,4.8,24.7,0.99698,3.52,0.84,11.39,6
7.29,0.227,0.266,4.51,0.33,9.8,36.4,0.99963,3.33,0.55,10.19,5
9.35,0.55,0.073,1.48,0.086,9.3,61.8,0.99703,3.34,0.63,9.9,5
5.57,0.815,0.027,5.68,0.048,17.6,100.8,0.99896,3.39,0.52,11.61,5
10.89,0.393,0.502,2.04,0.069,13.8,49.9,0.99299,3.53,0.53,11.92,6
8.96,0.53,0.086,1.91,0.157,4.9,33.7,0.99586,3.35,0.52,12.09,6
9.79,0.295,0.27,0.9,0.044,24.0,30.3,0.99745,3.28,0.78,9.7,6
7.33,0.823,0.451,2.45,0.056,15.6,33.7,0.99875,3.37,0.45,9.8,5
9.74,0.515,0.444,1.3,0.128,7.8,146.8,0.99816,3.31,0.59,9.92,6
10.18,0.538,0.421,2.54,0.069,8.8,54.5,0.99798,3.31,0.71,11.19,6
8.73,0.774,0.328,1.26,0.074,31.2,45.4,0.99872,3.05,0.8,9.14,5
8.73,0.649,0.408,4.75,0.127,5.5,69.4,0.9976,3.39,0.71,9.2,5
8.79,0.372,0.531,2.71,0.057,32.2,35.4,0.99263,3.49,0.63,9.66,6
6.82,0.413,0.351,5.91,0.04,11.2,97.5,0.99944,3.46,0.55,9.42,5
8.06,0.619,0.17,1.34,0.042,11.7,57.5,0.99511,3.45,0.8,11.37,5
8.05,0.418,0.402,4.25,0.101,16.6,33.1,0.9973,3.3,0.51,11.29,8
8.99,0.149,0.151,0.94,0.088,3.8,28.4,0.99704,3.33,0.52,9.9,5
10.06,0.52,0.578,2.32,0.057,15.5,9.7,0.99679,3.49,0.89,10.21,6
6.48,0.264,0.258,1.59,0.046,21.3,74.9,0.9946,3.44,0.7,9.93,6
8.1,0.821,0.286,1.73,0.069,9.6,12.9,0.99302,3.53,0.7,11.75,6
10.9,0.562,0.484,1.68,0.129,13.1,94.0,0.9948,3.21,0.74,9.87,6
7.03,0.367,0.235,1.4,0.054,43.9,21.7,0.99827,3.21,0.62,9.25,7
6.89,0.404,0.303,1.2,0.058,22.8,23.8,0.99395,3.26,0.45,11.89,6
8.67,0.19,0.441,1.73,0.046,6.7,124.8,0.99503,3.17,0.68,9.23,6
9.79,0.332,0.216,2.23,0.066,9.2,71.3,0.99749,3.11,0.63,12.07,7
8.34,0.713,0.428,3.57,0.091,10.9,44.6,0.99475,3.38,0.51,13.51,7
10.63,0.932,0.282,2.42,0.202,23.7,117.6,0.99567,3.37,0.49,10.3,5
9.81,0.661,0.549,3.58,0.086,6.7,39.1,0.99686,3.35,0.63,11.75,6
9.78,0.513,0.416,1.09,0.076,20.1,29.5,0.99724,3.36,0.45,8.63,5
9.28,0.452,0.435,1.74,0.115,20.1,47.5,0.99471,3.09,0.62,8.59,5
12.37,0.358,0.233,2.92,0.107,13.6,78.1,0.99697,3.24,0.6,9.57,5
7.96,0.901,0.346,2.47,0.06,24.2,15.5,0.99746,3.27,0.62,11.3,4
4.83,0.496,0.412,1.44,0.22,7.2,23.4,0.99428,3.32,0.71,10.42,6
11.11,0.911,0.115,3.22,0.077,27.3,19.1,0.99711,3.09,0.74,10.22,6
7.52,0.781,0.136,1.67,0.087,3.1,16.6,0.99534,3.17,0.53,9.04,4
8.51,0.217,0.306,1.49,0.1,6.6,36.3,0.99694,3.24,0.79,10.28,6
10.6,0.41,0.442,2.64,0.091,3.2,16.4,0.99807,3.47,0.6,9.73,6
5.53,0.41,0.048,2.12,0.155,7.5,8.6,0.99637,3.35,0.99,9.43,7
6.14,0.516,0.232,1.67,0.06,20.4,23.3,0.99844,3.46,0.55,9.34,5
5.53,0.519,0.224,1.65,0.111,17.1,22.1,0.9982,3.29,0.43,10.63,6
6.94,1.069,0.349,1.31,0.084,15.4,55.4,0.99842,3.31,0.79,9.65,5
9.08,0.336,0.268,1.77,0.122,7.4,73.8,0.99747,3.38,0.71,10.41,7
9.23,0.571,0.166,3.47,0.071,12.9,26.1,0.99879,3.28,0.86,8.53,5
8.8,0.641,0.507,2.36,0.067,27.5,23.6,0.99743,3.22,0.69,10.96,6
5.86,0.53,0.168,3.26,0.109,7.7,120.5,0.99353,3.09,1.14,10.68,7
8.41,0.55,0.215,2.67,0.092,7.9,72.2,0.9952,3.22,0.61,10.17,5
7.5,0.342,0.134,1.61,0.054,8.2,51.4,0.9963,3.44,0.83,10.59,6
9.12,0.549,0.368,1.01,0.143,14.9,32.4,0.99653,3.5,0.56,11.42,6
9.54,0.622,0.331,1.4,0.109,19.2,71.1,0.99738,3.19,0.72,8.87,6
8.56,0.589,0.384,1.57,0.076,22.1,17.8,0.99517,3.05,0.76,10.49,5
9.64,0.633,0.375,1.51,0.063,10.9,73.2,1.00052,3.45,0.79,9.02,5
8.72,0.784,0.667,3.29,0.092,10.2,57.2,0.99651,3.32,0.77,10.51,6
9.24,0.699,0.128,3.28,0.105,8.9,64.3,0.99669,3.11,0.33,10.14,5
7.09,0.543,0.07,5.73,0.038,18.5,45.0,0.99543,2.84,0.63,10.39,5
8.01,0.319,0.136,1.5,0.092,3.9,13.8,0.99479,3.17,0.55,11.33,6
8.66,0.422,0.085,4.34,0.105,12.0,18.2,0.99646,3.24,0.58,11.3,6
9.75,0.49,0.288,4.33,0.027,12.0,59.2,0.99675,3.14,0.59,11.58,5
7.63,0.575,0.508,1.91,0.085,20.3,55.3,0.99653,3.41,0.81,10.0,6
9.23,0.444,0.563,2.62,0.107,4.9,28.1,0.99984,3.19,0.67,11.17,7
7.86,0.362,0.366,3.7,0.101,21.3,27.7,0.99646,3.31,0.56,10.96,5
8.12,0.316,0.677,2.06,0.112,17.7,85.8,0.99654,3.67,0.44,10.02,5
9.76,0.233,0.202,1.99,0.067,38.0,41.1,0.99825,3.33,0.94,10.55,6
4.85,0.488,0.47,1.6,0.049,33.6,22.3,0.99637,3.29,0.54,10.28,5
6.06,0.265,0.127,0.9,0.035,26.3,94.5,0.99772,3.3,0.62,11.91,7
5.74,0.35,0.369,2.19,0.128,2.4,89.1,0.99427,3.41,1.09,11.29,6
7.14,0.459,0.251,1.54,0.107,5.3,41.1,0.99428,3.39,0.55,10.06,5
9.62,0.29,0.234,1.3,0.132,24.3,47.0,0.99693,3.16,0.6,9.99,6
7.82,0.598,0.046,2.56,0.056,11.8,72.3,0.99626,3.25,0.68,11.44,5
8.66,0.663,0.268,1.1,0.112,33.6,61.9,0.99516,3.21,0.43,11.85,6
10.22,0.431,0.461,3.04,0.04,13.8,13.4,0.99693,3.27,0.41,10.76,6
10.63,0.451,0.274,2.63,0.053,19.9,96.4,0.9971,3.58,0.57,11.12,6
8.2,0.627,0.112,1.77,0.083,19.0,11.2,0.99535,3.4,0.57,11.81,5
10.68,0.401,0.033,2.06,0.105,13.6,54.9,0.99571,3.3,0.66,10.23,6
8.48,0.389,0.116,1.24,0.166,24.5,15.9,0.99711,3.5,0.5,10.51,6
6.86,0.745,0.345,2.97,0.07,20.9,61.8,0.99476,3.34,0.71,10.94,5
7.29,0.689,0.335,2.3,0.053,5.7,24.3,0.99555,3.06,0.37,9.96,5
5.74,0.638,0.118,2.38,0.052,45.7,25.5,0.99771,3.56,0.63,12.24,6
6.77,0.697,0.35,2.65,0.057,5.3,69.7,0.99665,3.29,0.7,9.95,6
7.7,0.174,0.099,1.59,0.212,7.9,15.9,0.99579,2.97,0.69,10.49,6
9.72,0.774,0.401,1.07,0.11,19.7,28.1,0.99498,3.07,0.61,12.47,6
11.31,0.601,0.126,3.26,0.129,17.4,16.4,0.99477,3.48,0.54,8.43,5
5.92,0.712,0.082,2.89,0.07,22.0,44.7,0.99645,3.07,0.61,10.65,6
9.0,0.6,0.299,1.66,0.078,11.5,16.2,1.00055,3.51,0.87,9.71,6
6.51,0.539,0.718,2.54,0.107,18.2,51.9,0.99777,3.32,0.55,10.42,6
9.15,0.48,0.412,3.73,0.062,8.3,88.4,0.99417,3.42,0.81,9.13,5
8.09,0.596,0.296,3.53,0.068,13.8,6.7,0.99804,3.27,0.85,10.02,6
5.13,0.474,0.338,1.64,0.058,31.2,24.4,0.99526,3.39,0.41,10.45,5
9.94,0.686,0.057,1.08,0.064,5.3,17.7,0.99669,3.36,0.62,10.68,5
7.27,0.244,0.599,1.17,0.08,25.5,13.6,0.99558,3.3,0.5,11.38,7
7.39,0.433,0.56,1.84,0.054,12.1,51.0,1.00054,3.15,0.44,10.29,6
6.46,0.898,0.345,4.09,0.089,7.0,47.1,0.99455,3.36,0.78,10.23,5
7.18,0.417,0.296,1.53,0.089,7.4,96.0,0.9973,3.04,0.72,10.35,5
9.06,0.487,0.228,1.62,0.072,11.8,65.1,0.9954,3.45,0.68,10.45,5
7.99,0.371,0.611,1.6,0.054,26.2,42.6,0.9981,3.34,0.49,9.53,5
8.89,0.59,0.295,1.67,0.082,18.1,49.5,0.99726,3.38,0.67,8.76,5
8.95,0.397,0.163,2.11,0.062,5.0,28.1,0.99908,2.92,0.46,10.65,7
10.62,0.497,0.532,1.19,0.08,24.7,50.6,0.99806,3.14,0.65,9.36,5
7.72,0.683,0.257,3.45,0.128,22.2,11.3,0.99538,3.23,0.54,10.85,5
5.75,0.404,0.094,1.98,0.044,3.1,37.2,1.00224,3.41,0.83,9.42,6
10.18,0.672,0.027,6.46,0.208,6.8,56.0,0.99776,3.17,0.58,11.16,5
7.74,0.678,0.245,1.25,0.076,27.9,35.9,0.99565,3.69,0.68,10.36,5
10.26,0.72,0.309,4.33,0.094,13.6,25.1,0.99709,3.27,0.68,10.44,6
8.99,0.555,0.174,3.96,0.056,24.6,43.9,0.9979,3.16,0.63,10.16,5
8.09,1.113,0.418,1.76,0.131,1.8,22.3,0.99783,3.28,0.65,9.98,5
8.93,0.72,0.285,1.77,0.074,1.1,34.3,0.99764,3.17,0.69,10.17,5
11.71,0.588,0.472,1.4,0.065,20.5,69.1,0.99854,3.13,0.51,11.68,6
11.93,0.372,0.202,1.41,0.06,8.9,71.9,0.99835,3.46,0.71,8.78,6
8.44,0.513,0.849,2.12,0.069,21.3,47.8,0.99509,3.39,0.79,9.73,5
8.6,0.787,0.163,2.14,0.094,24.8,19.0,1.00071,3.39,0.7,11.55,6
10.19,0.838,0.098,1.03,0.084,9.0,32.0,1.00044,3.5,0.58,11.3,6
6.85,0.796,0.075,5.94,0.077,12.8,44.5,0.99822,3.38,0.67,11.86,5
8.9,0.671,0.23,1.88,0.057,10.9,24.2,0.99677,3.15,0.58,10.36,5
8.27,0.304,0.326,2.18,0.055,8.9,112.3,0.99681,3.42,0.62,9.01,5
8.87,0.618,0.301,1.6,0.063,15.8,24.6,0.99608,3.14,0.47,9.23,5
6.87,0.307,0.013,1.88,0.096,23.2,42.5,0.99633,3.24,0.9,10.1,6
5.55,0.262,0.198,1.8,0.105,8.0,9.0,0.99255,3.3,1.03,11.23,7
4.71,0.573,0.385,2.11,0.112,7.9,74.8,0.99961,3.29,0.53,10.15,5
6.38,0.624,0.708,2.1,0.078,9.1,101.3,0.99894,3.04,0.78,10.07,6
7.52,0.693,0.065,3.04,0.093,19.7,18.7,0.99351,3.16,0.92,10.84,7
7.81,0.619,0.241,2.34,0.072,24.7,11.6,0.99839,3.31,0.5,10.45,6
11.69,0.626,0.132,2.91,0.036,10.8,47.4,0.99669,3.22,0.37,9.95,5
10.24,0.353,0.105,2.11,0.071,2.5,120.6,0.99632,3.48,0.93,9.35,5
6.65,0.511,0.134,2.35,0.066,6.1,13.3,0.99764,3.5,0.64,11.43,5
8.93,0.259,0.427,1.9,0.049,10.3,32.9,0.99339,3.14,0.56,11.54,7
7.61,0.169,0.177,3.32,0.06,7.2,50.2,0.99668,3.32,0.65,9.29,6
7.83,0.663,0.697,2.45,0.083,4.9,43.7,0.99685,3.55,0.58,9.99,6
8.64,0.394,0.349,1.97,0.047,14.1,55.4,0.99685,3.29,1.34,11.13,7
9.4,0.687,0.078,1.95,0.057,52.5,92.5,0.9941,3.25,0.56,9.2,4
7.73,0.73,0.2,2.02,0.157,6.4,75.7,0.99755,3.44,0.69,10.81,6
10.17,0.419,0.118,2.15,0.038,15.9,32.4,0.99871,3.27,0.88,10.07,7
6.33,0.636,0.422,2.06,0.072,19.1,13.1,0.99747,3.5,0.88,9.12,6
8.33,0.411,0.015,1.65,0.046,20.1,79.3,0.99626,3.22,0.84,12.32,7
12.84,0.198,0.158,2.99,0.056,13.1,32.8,1.00181,3.24,0.57,10.05,7
8.71,0.552,0.4,3.07,0.071,5.1,43.4,0.99494,3.43,0.61,10.98,5
10.81,0.445,0.504,4.72,0.05,23.1,70.9,0.99817,3.33,0.37,9.22,5
8.48,0.451,0.532,1.61,0.101,3.6,77.8,0.99716,3.33,0.63,12.08,6
9.33,0.886,0.371,2.86,0.143,12.2,68.3,1.00052,3.02,0.64,12.5,5
8.22,0.255,0.254,0.9,0.114,11.3,108.5,0.99743,3.26,0.77,8.81,5
8.02,0.599,0.421,3.07,0.124,5.5,40.2,0.99784,3.44,1.0,10.24,7
6.96,0.351,0.053,1.1,0.042,9.1,25.7,0.99766,3.19,0.76,11.84,6
9.07,0.693,0.353,1.36,0.07,19.6,20.4,0.99469,3.42,0.83,9.92,5
6.84,0.584,0.079,2.46,0.096,12.2,26.8,0.99505,3.35,0.63,10.86,5
9.48,0.598,0.258,1.6,0.116,4.2,27.6,0.99618,3.28,0.88,8.62,5
10.21,0.36,0.293,1.5,0.172,21.4,47.9,0.99852,3.51,0.64,9.58,5
8.96,0.392,0.317,1.7,0.126,37.3,59.1,0.99714,3.26,0.85,10.75,5
7.82,0.697,0.448,2.94,0.117,4.7,18.2,0.99631,3.27,0.78,9.79,5
9.11,0.849,0.428,1.39,0.255,12.9,71.0,0.99931,3.28,0.7,10.03,5
7.78,0.616,0.307,2.07,0.082,13.2,75.4,0.99293,3.32,0.43,8.8,5
9.95,0.368,0.186,1.79,0.069,4.6,60.0,0.99424,3.43,0.84,11.12,6
5.13,0.591,0.29,3.06,0.085,28.5,29.7,0.99196,3.09,0.7,8.99,5
7.74,0.967,0.157,3.1,0.052,13.4,90.4,0.999,3.44,0.76,12.07,6
4.86,0.548,0.233,0.93,0.08,23.6,39.7,0.99652,3.32,0.69,9.69,5
5.72,0.793,0.767,3.39,0.036,16.5,23.4,0.99854,3.39,0.72,11.28,6
10.69,0.397,0.305,1.61,0.062,27.8,18.1,0.99649,3.67,0.88,11.17,6
9.88,0.522,0.356,2.35,0.074,16.4,45.4,0.99864,3.23,0.57,9.37,6
7.07,0.642,0.136,1.39,0.12,9.8,30.1,0.99646,3.13,0.72,9.8,5
5.71,0.602,0.464,2.5,0.129,18.7,14.4,0.99748,3.34,0.52,9.93,5
7.37,0.392,0.414,6.67,0.051,7.3,11.1,0.9972,3.36,0.74,10.0,6
12.53,0.384,0.416,2.24,0.199,19.9,50.0,0.99734,3.44,0.68,9.03,6
9.08,0.708,0.311,1.72,0.083,6.4,12.6,0.9999,3.23,0.54,10.99,6
7.35,0.744,0.466,1.91,0.087,12.6,6.0,0.99361,3.19,0.65,9.68,6
9.13,0.802,0.512,1.09,0.038,10.9,76.0,0.99657,3.08,0.55,10.3,6
5.6,0.855,0.324,4.06,0.059,15.6,19.9,0.99708,3.1,0.58,11.5,5
7.8,0.554,0.248,2.44,0.125,30.6,55.2,0.99679,3.25,0.7,11.03,5
8.49,0.474,0.44,1.32,0.084,8.9,44.7,0.99594,3.29,0.68,9.76,5
8.17,0.773,0.098,1.34,0.082,22.7,25.3,0.99568,3.62,0.39,11.53,4
9.7,0.658,0.134,2.13,0.086,28.4,96.7,0.99961,3.06,0.7,11.13,6
8.92,0.353,0.26,3.22,0.041,22.3,60.9,0.99657,3.36,0.59,9.66,5
9.48,0.344,0.427,1.26,0.075,15.6,38.1,1.00133,3.2,0.57,9.87,5
7.12,0.619,0.087,3.49,0.147,15.0,21.4,0.9977,3.34,0.48,11.49,6
9.88,0.498,0.18,2.03,0.127,8.5,57.9,0.99615,3.23,0.63,11.25,6
11.15,0.525,0.229,1.39,0.074,3.7,63.7,0.99775,3.47,0.56,8.81,5
6.63,0.723,0.277,1.72,0.158,13.7,42.1,0.99691,3.46,0.88,9.34,5
6.78,0.667,0.205,4.65,0.044,29.9,38.7,0.99925,3.29,0.41,11.16,5
10.64,0.769,0.257,1.13,0.05,32.5,60.8,0.99448,3.53,0.5,9.16,5
7.99,0.182,0.259,1.52,0.181,4.3,37.5,0.99328,3.42,0.49,11.28,7
10.76,0.576,0.185,3.25,0.101,31.9,23.1,0.99739,3.52,0.68,12.49,6
7.55,0.655,0.123,2.33,0.069,19.3,13.4,0.99829,3.3,0.85,10.82,7
10.85,0.255,0.475,1.48,0.076,17.9,37.7,0.99724,3.45,0.72,9.43,7
8.55,0.412,0.231,3.27,0.054,29.8,13.1,0.99798,3.19,0.48,10.61,6
8.77,0.379,0.181,3.34,0.088,24.7,64.2,0.9977,3.18,0.57,11.53,5
11.04,0.534,0.35,2.46,0.085,6.4,37.7,0.99389,3.64,0.52,10.53,5
7.69,0.823,0.175,1.61,0.079,7.8,70.4,0.99723,3.15,0.72,10.94,6
6.68,0.894,0.251,1.72,0.046,3.3,47.0,0.9992,3.24,0.57,9.56,3
7.54,0.383,0.473,2.41,0.088,17.4,55.3,0.99703,3.03,0.45,9.65,5
9.11,0.625,0.333,1.17,0.062,7.0,24.7,0.99421,3.18,0.74,11.39,6
5.6,0.631,0.045,3.85,0.05,9.6,36.0,0.99607,3.16,0.87,9.66,5
9.43,0.6,0.177,4.55,0.138,27.6,46.6,0.99776,3.21,0.61,10.09,5
7.38,0.602,0.438,1.9,0.207,18.9,43.1,1.00011,3.35,0.66,10.76,6
10.32,0.585,0.042,2.48,0.187,19.2,41.9,0.99298,3.39,0.44,11.55,5
6.95,0.834,0.255,3.61,0.105,45.1,17.9,0.99739,3.16,0.38,12.18,6
5.39,0.728,0.268,5.1,0.069,1.0,8.8,0.99493,3.19,0.4,10.51,6
6.88,0.339,0.197,4.27,0.076,7.3,16.9,0.99766,3.47,0.63,11.12,6
8.75,0.673,0.782,0.97,0.094,10.9,6.0,0.99782,3.57,0.59,10.55,5
8.01,0.691,0.192,1.84,0.065,7.6,10.0,0.99626,3.5,0.73,10.8,6
7.88,0.587,0.355,2.65,0.141,23.5,48.8,0.9979,3.06,0.61,10.22,7
8.04,0.734,0.124,1.69,0.031,11.8,32.9,0.99887,3.49,0.82,10.83,5
8.67,0.564,0.37,4.72,0.068,5.8,22.1,0.99639,3.59,0.79,9.64,7
6.57,0.566,0.435,4.41,0.112,16.4,32.4,0.99416,3.06,0.59,12.54,5
9.55,0.552,0.158,1.47,0.053,18.2,7.1,0.99941,3.47,0.5,11.03,5
9.47,0.167,0.26,1.97,0.07,6.2,37.0,0.99827,3.34,0.39,10.76,6
8.99,0.516,0.1,1.51,0.102,12.2,14.3,0.99777,3.26,0.91,10.82,7
9.29,0.41,0.053,1.94,0.155,18.5,82.6,0.99539,3.33,0.5,9.15,5
8.84,0.316,0.467,1.91,0.044,28.6,57.0,0.99857,3.38,0.44,8.62,6
11.86,0.788,0.165,3.25,0.042,8.2,53.9,1.00058,3.48,0.66,11.07,5
8.17,0.621,0.605,1.42,0.051,19.8,42.6,0.99647,3.48,0.44,11.85,6
7.79,0.525,0.118,0.9,0.039,9.2,60.1,0.99688,3.08,0.66,10.66,5
7.01,0.428,0.223,1.03,0.04,14.5,37.2,0.99468,3.21,0.59,11.28,7
6.52,0.583,0.582,1.33,0.05,6.7,21.6,0.99533,3.32,0.8,9.93,5
6.15,0.708,0.243,1.58,0.136,19.4,54.5,0.99466,3.55,0.79,10.77,5
6.77,0.381,0.239,2.3,0.068,25.7,72.9,0.99695,2.9,0.84,11.73,6
8.2,0.529,0.037,1.3,0.079,12.6,18.7,0.99605,3.22,0.67,10.08,6
8.9,0.686,0.238,1.23,0.051,11.5,11.2,0.99741,3.08,0.51,11.69,5
8.41,0.182,0.339,1.39,0.104,10.7,114.6,0.99501,3.1,0.49,8.67,6
6.99,0.52,0.328,1.28,0.182,5.3,89.1,0.99638,3.46,0.56,9.76,5
9.89,0.453,0.179,1.65,0.052,21.9,39.9,0.99489,3.23,1.05,11.0,7
9.61,0.506,0.274,1.62,0.17,28.1,6.0,0.99706,2.96,0.6,12.46,7
8.04,0.44,0.357,2.89,0.092,7.9,46.7,0.9936,3.29,0.66,10.44,6
7.18,0.555,0.301,1.36,0.079,15.8,151.7,0.99699,3.62,0.93,9.31,5
9.27,0.876,0.645,1.8,0.093,19.1,59.8,0.99617,3.04,0.68,12.43,6
8.65,0.472,0.271,1.66,0.093,9.1,56.7,0.99704,3.39,0.53,10.29,6
5.8,0.583,0.091,3.05,0.18,32.4,37.9,0.99356,3.55,0.77,11.13,5
8.2,0.889,0.26,1.98,0.099,16.0,53.4,0.99794,3.3,0.57,10.06,4
8.78,0.431,0.208,3.4,0.1,4.3,59.6,0.99613,3.6,0.69,10.57,6
6.75,0.857,0.353,1.26,0.065,26.5,44.2,0.99711,3.21,0.72,9.82,5
8.65,0.531,0.275,2.07,0.114,12.9,34.3,0.99315,3.53,0.56,12.84,5
5.79,0.851,0.031,1.63,0.051,10.2,44.7,0.99434,3.49,0.67,11.69,5
10.64,0.665,0.32,1.22,0.082,20.9,43.3,0.99596,3.31,0.95,12.31,7
10.49,0.585,0.533,2.05,0.286,9.3,6.7,0.99931,3.09,0.55,9.58,5
7.88,0.518,0.285,4.62,0.025,31.2,134.4,0.9977,3.16,0.89,8.47,5
8.95,0.418,0.425,1.44,0.087,27.1,56.7,0.99695,2.96,0.55,10.11,5
6.31,0.544,0.462,2.0,0.088,33.8,80.6,0.99494,3.4,1.0,13.11,6
7.81,0.692,0.321,1.17,0.07,43.6,47.8,0.9946,3.38,0.51,10.08,5
6.45,0.528,0.115,1.1,0.071,18.9,27.3,0.99723,3.32,0.58,11.55,6
9.56,0.473,0.307,1.49,0.081,13.7,70.2,0.99803,3.29,0.93,9.32,5
11.8,0.485,0.499,1.73,0.07,9.0,10.6,0.9971,3.51,0.94,9.53,6
6.27,0.709,0.371,1.76,0.086,20.1,58.2,0.99995,3.35,0.78,10.33,5
6.86,0.751,0.412,1.91,0.063,42.9,69.7,0.9954,3.23,0.49,12.68,7
8.73,0.41,0.182,1.01,0.194,5.3,37.5,0.99704,3.33,0.65,11.6,6
11.12,0.41,0.232,1.6,0.07,16.8,54.6,0.99348,3.62,0.64,11.13,5
6.19,0.598,0.247,2.65,0.101,4.3,6.8,0.9971,3.4,0.51,9.19,5
8.75,0.805,0.26,1.15,0.058,4.1,56.2,0.99949,3.25,0.76,9.69,5
11.49,0.736,0.492,1.8,0.119,28.7,31.1,0.99472,3.3,0.53,10.97,6
5.45,0.305,0.276,2.42,0.109,25.9,54.8,0.9983,3.38,0.46,11.92,7
6.09,0.482,0.255,1.49,0.094,8.7,38.6,0.99944,3.25,0.43,11.86,6
7.58,0.362,0.009,2.47,0.049,6.1,38.3,0.99539,3.23,0.98,10.77,8
7.41,0.482,0.398,1.07,0.056,34.6,55.9,0.99759,3.31,0.56,10.79,5
9.73,0.819,0.132,3.16,0.167,6.5,32.2,0.9997,3.54,0.56,11.86,6
